"Word","Pinyin","OtherPinyin","Level","First Translation","Other Translations","ParentWord","ParentPinyin","Zhuyin"
"男","nán","","2","male","Baron, lowest of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4], CL:個|个[ge4]","","","ㄋㄢˊ"
"女","nǚ","","2","female","woman, daughter, archaic variant of 汝[ru3]","","","ㄋㄩˇ"
"孩","hái","","2","child","","孩子","háizi","ㄏㄞˊ　˙ㄗ"
"子","zǐ","zi","2","son","child, seed, egg, small thing, 1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat, Viscount, fourth of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4], ancient Chinese compass point: 0° (north), (noun suffix)","孩子","háizi","ㄏㄞˊ　˙ㄗ"
"孩子","háizi","","2","child","","","","ㄏㄞˊ　˙ㄗ"
"小","xiǎo","","2","small","tiny, few, young","小姐","xiǎojiě","ㄒㄧㄠˇ　ㄐㄧㄝˇ"
"姐","jiě","","2","older sister","","小姐","xiǎojiě","ㄒㄧㄠˇ　ㄐㄧㄝˇ"
"小姐","xiǎojiě","","2","young lady","miss, (slang) prostitute, CL:個|个[ge4],位[wei4]","","","ㄒㄧㄠˇ　ㄐㄧㄝˇ"
"先","xiān","","2","early","prior, former, in advance, first","先生","xiānshēng","ㄒㄧㄢ　ㄕㄥ"
"生","shēng","","2","to be born","to give birth, life, to grow, raw, uncooked, student","先生","xiānshēng","ㄒㄧㄢ　ㄕㄥ"
"先生","xiānshēng","","2","Mister (Mr.)","teacher, husband, doctor (dialect), CL:位[wei4]","","","ㄒㄧㄢ　ㄕㄥ"
"太","tài","","2","highest","greatest, too (much), very, extremely","太太","tàitai","ㄊㄞˋ　˙ㄊㄞ"
"太太","tàitai","","2","married woman","Mrs., Madam, wife, CL:個|个[ge4],位[wei4]","","","ㄊㄞˋ　˙ㄊㄞ"
"兒","ér","r","2","child","son, non-syllabic diminutive suffix, retroflex final","女兒","nǚér","ㄋㄩˇ　ㄦˊ"
"女兒","nǚér","","2","daughter","","","","ㄋㄩˇ　ㄦˊ"
"兒子","érzi","","2","son","","","","ㄦˊ　˙ㄗ"
"大","dà","dài","2","big","huge, large, major, great, wide, deep, older (than), oldest, eldest, greatly, very much, (dialect) father, father's elder or younger brother, see 大夫[dai4 fu5]","大家","dàjiā","ㄉㄚˋ　ㄐㄧㄚ"
"家","jiā","","2","home","family, (polite) my (sister, uncle etc), classifier for families or businesses, refers to the philosophical schools of pre-Han China, noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian, see 傢伙|家伙[jia1 huo5], surname Jia, CL:個|个[ge4]","大家","dàjiā","ㄉㄚˋ　ㄐㄧㄚ"
"大家","dàjiā","","2","everyone","influential family, great expert","","","ㄉㄚˋ　ㄐㄧㄚ"
